Anio,Mes,FECHA,Pais_Destino,Prod_Principal,TRADICIONAL_Y_NO_TRAD,Codigo_Subpartida, Suma_FOB_miles ,Suma_TM_Peso_Neto
2020,2,2020/02/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,168,686,293.00",2500038377
2020,2,2020/02/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$1,556,395,258.00",2655172369
2020,3,2020/03/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,172,755,031.00",1778589961
2020,3,2020/03/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$997,042,257.00",2108281293
2020,3,2020/03/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$4,414,936,814.00",7343790004
2020,4,2020/04/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,044,832,377.00",1687804943
2020,4,2020/04/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,005,863,662.00",1955582612
2020,4,2020/04/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$3,759,199,917.00",6057408291
2020,5,2020/05/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$885,919,732.00",1274263459
2020,5,2020/05/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$760,805,570.00",1521540476
2020,5,2020/05/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$645,663,024.00",1004944762
2020,5,2020/05/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,"$865,080.00",2032560
2020,6,2020/06/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$894,349,493.00",1177984826
2020,6,2020/06/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$972,750,084.00",1745831294
2020,6,2020/06/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$4,159,974,693.00",6696710763
2020,7,2020/07/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$831,891,525.00",1051898420
2020,7,2020/07/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,133,601,841.00",2081059972
2020,7,2020/07/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$4,833,665,411.00",7730555167
2020,8,2020/08/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,187,615,706.00",1328182490
2020,8,2020/08/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$840,618,908.00",1731740531
2020,8,2020/08/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$2,551,573,276.00",4234244045
2020,9,2020/09/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,236,379,772.00",1517461728
2020,9,2020/09/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,195,650,893.00",2527608414
2020,9,2020/09/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$104,877,560.00",156354501
2020,9,2020/09/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,$0.01,0.05
2020,10,2020/10/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,059,113,044.00",1580657257
2020,10,2020/10/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,143,682,131.00",2444739413
2020,10,2020/10/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$142,127,695.00",245360888
2020,11,2020/11/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,119,024,527.00",1642981328
2020,11,2020/11/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,227,175,796.00",2647196047
2020,11,2020/11/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$319,013,651.00",574274684
2020,12,2020/12/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,009,185,799.00",1410386310
2020,12,2020/12/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$2,033,787,095.00",4199115265
2020,12,2020/12/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$828,031,878.00",1578326456
2019,1,2019/01/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,031,146,584.00",1636115342
2019,1,2019/01/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,766,881,304.00",3637241953
2019,1,2019/01/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$1,506,649,174.00",2593176364
2019,2,2019/02/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,035,277,798.00",1657560579
2019,2,2019/02/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$2,159,227,111.00",4473489566
2019,2,2019/02/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$714,163,316.00",1180917553
2019,3,2019/03/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,124,912,756.00",1790683823
2019,3,2019/03/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,600,102,793.00",3349150329
2019,3,2019/03/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$194,927,931.00",319858911
2019,4,2019/04/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,003,826,032.00",1602397829
2019,4,2019/04/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,563,152,046.00",3308023697
2019,4,2019/04/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$150,794,882.00",238940860
2019,5,2019/05/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,210,207,713.00",1920190618
2019,5,2019/05/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,830,625,722.00",3865084916
2019,5,2019/05/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$210,296,879.00",324086936
2019,6,2019/06/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,021,291,238.00",1595687231
2019,6,2019/06/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,905,421,298.00",3998476382
2019,6,2019/06/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$265,738,257.00",461217692
2019,7,2019/07/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,004,854,690.00",1562596948
