FECHA,Suma_FOB_miles
01-ene-22,1947347296
01-ene-22,2316431074
01-ene-22,189176422
01-ene-21,974903641
01-ene-21,2851068945
01-ene-21,952083454
01-feb-21,971366854
01-feb-21,1854688924
01-feb-21,656657292
01-mar-21,1114113658
01-mar-21,1280253437
01-mar-21,836106463
01-abr-21,1353133639
01-abr-21,1597375873
01-abr-21,1040809775
01-may-21,1923065541
01-may-21,1415822933
01-may-21,610312341
01-jun-21,1777325005
01-jun-21,1200483489
01-jun-21,429876487
01-jul-21,1938634521
01-jul-21,1705977465
01-jul-21,708590140
01-jul-21,122304
01-ago-21,2073140556
01-ago-21,1108477307
01-ago-21,255554485
01-sep-21,1475871238
01-sep-21,827763233
01-sep-21,52074411
01-oct-21,1782326366
01-oct-21,1083937873
01-oct-21,113056950
01-oct-21,1389000
01-nov-21,1737744045
01-nov-21,1327943726
01-nov-21,88364652
01-nov-21,13702801
01-dic-21,1706358569
01-dic-21,2437280048
01-dic-21,607294768
01-ene-20,1491184846
01-ene-20,1600356267
01-ene-20,2473967276
01-feb-20,901163204
01-feb-20,1168686293
01-feb-20,1556395258
01-mar-20,1172755031
01-mar-20,997042257
01-mar-20,4414936814
01-abr-20,1044832377
01-abr-20,1005863662
01-abr-20,3759199917
01-may-20,885919732
01-may-20,760805570
01-may-20,645663024
01-may-20,865080
01-jun-20,894349493
01-jun-20,972750084
01-jun-20,4159974693
01-jul-20,831891525
01-jul-20,1133601841
01-jul-20,4833665411
01-ago-20,1187615706
01-ago-20,840618908
01-ago-20,2551573276
01-sep-20,1236379772
01-sep-20,1195650893
01-sep-20,104877560
01-sep-20,0.01
01-oct-20,1059113044
01-oct-20,1143682131
01-oct-20,142127695
01-nov-20,1119024527
01-nov-20,1227175796
01-nov-20,319013651
01-dic-20,1009185799
01-dic-20,2033787095
01-dic-20,828031878
01-ene-19,1031146584
01-ene-19,1766881304
01-ene-19,1506649174
01-feb-19,1035277798
01-feb-19,2159227111
01-feb-19,714163316
01-mar-19,1124912756
01-mar-19,1600102793
01-mar-19,194927931
01-abr-19,1003826032
01-abr-19,1563152046
01-abr-19,150794882
01-may-19,1210207713
01-may-19,1830625722
01-may-19,210296879
01-jun-19,1021291238
01-jun-19,1905421298
01-jun-19,265738257
01-jul-19,1004854690
01-jul-19,1846622296
01-jul-19,141020534
01-ago-19,1170929319
01-ago-19,1432622199
01-ago-19,1191914368
01-sep-19,956120068
01-sep-19,800810955
01-sep-19,726947588
01-oct-19,992105528
01-oct-19,997852434
01-oct-19,776266443
01-nov-19,1030765718
01-nov-19,1303361851
01-nov-19,821082217
01-dic-19,1656435938
01-dic-19,1687835644
01-dic-19,1088542180
01-ene-18,855415055
01-ene-18,2960034733
01-ene-18,697200272
01-ene-18,1537920
01-feb-18,927854871
01-feb-18,2402419516
01-feb-18,128957057
01-mar-18,1005619300
01-mar-18,1557720798
01-mar-18,1148556678
01-mar-18,18455040
01-abr-18,1239004289
01-abr-18,1462626511
01-abr-18,1229828832
01-may-18,1236108859
01-may-18,1650087319
01-may-18,58591623
01-may-18,865080
01-jun-18,1110921171
01-jun-18,2000870981
01-jun-18,167101948
01-jun-18,1653480
01-jul-18,944382543
01-jul-18,1967062917
01-jul-18,976967821
01-jul-18,788400
01-ago-18,994942445
01-ago-18,1549637873
01-ago-18,486204133
01-ago-18,196800
01-sep-18,970298693
01-sep-18,926329950
01-sep-18,110770113
01-oct-18,932728799
01-oct-18,823770275
01-oct-18,204697364
01-nov-18,1041170047
01-nov-18,1362717101
01-nov-18,406284101
01-nov-18,0.63
01-dic-18,1064877692
01-dic-18,1776009451
01-dic-18,151648894
01-ene-17,767151797
01-ene-17,1478589327
01-ene-17,2076066467
01-feb-17,708421598
01-feb-17,911701964
01-feb-17,2919115961
01-mar-17,896224766
01-mar-17,1006791292
01-mar-17,2436559003
01-abr-17,802029883
01-abr-17,1167667907
01-abr-17,2152780021
01-may-17,800656044
01-may-17,1366196392
01-may-17,2917369703
01-jun-17,1070660203
01-jun-17,1922953231
01-jun-17,1940444598
01-jul-17,930467974
01-jul-17,1600766414
01-jul-17,884484875
01-ago-17,855488344
01-ago-17,1449415820
01-ago-17,51064127
01-sep-17,778892769
01-sep-17,1115645624
01-sep-17,38736936
01-oct-17,807909814
01-oct-17,946483628
01-oct-17,62717428
01-nov-17,948998121
01-nov-17,1508339836
01-nov-17,384418797
01-dic-17,957484228
01-dic-17,1996782805
01-dic-17,1224158166
01-ene-16,4813097955
01-ene-16,42684284
01-feb-16,4237318097
01-feb-16,56749892
01-mar-16,2964742224
01-mar-16,42130218
01-abr-16,3283754359
01-abr-16,42747998
01-may-16,3091274004
01-may-16,39742684
01-jun-16,3395537011
01-jun-16,46112078
01-jun-16,0.03
01-jul-16,4169734968
01-jul-16,47084625
01-ago-16,135050696
01-ago-16,570239127
01-ago-16,2181485456
01-ago-16,40113030
01-sep-16,1018401227
01-sep-16,1905625714
01-sep-16,95628188
01-oct-16,839754290
01-oct-16,1631005589
01-oct-16,40823088
01-oct-16,0.07
01-nov-16,811455769
01-nov-16,1792934708
01-nov-16,57050818
01-dic-16,1065192950
01-dic-16,2460042837
01-dic-16,454824692
01-ene-15,4049892070
01-ene-15,31900116
01-ene-15,2207320
01-feb-15,3943664118
01-feb-15,36793581
01-feb-15,4709506
01-mar-15,3360175218
01-mar-15,35945620
01-mar-15,4494800
01-abr-15,3366848344
01-abr-15,41932141
01-abr-15,4377100
01-may-15,3674559360
01-may-15,45957357
01-may-15,1603240
01-jun-15,3339628454
01-jun-15,40785618
01-jun-15,1048012
01-jul-15,4338870456
01-jul-15,54793040
01-jul-15,1379108
01-ago-15,3070440636
01-ago-15,40467361
01-ago-15,992682
01-sep-15,2492986947
01-sep-15,39687953
01-sep-15,686968
01-oct-15,3128051410
01-oct-15,48896601
01-oct-15,2172490
01-nov-15,2662262329
01-nov-15,43318400
01-nov-15,908884
01-dic-15,4213110617
01-dic-15,57456010
01-dic-15,497654
01-ene-14,4575617691
01-ene-14,36314698
01-ene-14,1694688
01-feb-14,3031209732
01-feb-14,34678346
01-feb-14,1757556
01-mar-14,2568051000
01-mar-14,42025478
01-mar-14,1535116
01-abr-14,2744418534
01-abr-14,46553264
01-abr-14,1973800
01-may-14,3231959168
01-may-14,51436138
01-may-14,2681032
01-jun-14,2942453277
01-jun-14,40747144
01-jun-14,2017080
01-jul-14,4131181002
01-jul-14,50734286
01-jul-14,2695004
01-ago-14,2574471679
01-ago-14,40162190
01-ago-14,1905356
01-sep-14,2089783193
01-sep-14,33180010
01-sep-14,1464504
01-oct-14,2792252874
01-oct-14,40272674
01-oct-14,2417348
01-nov-14,2599039371
01-nov-14,33188941
01-nov-14,2047376
01-dic-14,3678184633
01-dic-14,42355522
01-dic-14,2838956
01-ene-13,1035112315
01-ene-13,10743599
01-ene-13,815103
01-ene-13,2372984071
01-ene-13,69262271
01-ene-13,4389559
01-feb-13,3105907925
01-feb-13,32210844
01-feb-13,9598754
01-mar-13,3059868202
01-mar-13,108268433
01-mar-13,12033376
01-abr-13,2953475754
01-abr-13,33493104
01-abr-13,16806231
01-may-13,3277345657
01-may-13,42209048
01-may-13,15385953
01-jun-13,3344019354
01-jun-13,36775140
01-jun-13,6835984
01-jul-13,3046924710
01-jul-13,33135036
01-jul-13,6085378
01-ago-13,2869142145
01-ago-13,42802448
01-ago-13,6943500
01-sep-13,2319370431
01-sep-13,36512840
01-sep-13,1754736
01-oct-13,2702564131
01-oct-13,42822927
01-oct-13,1502312
01-nov-13,2488865027
01-nov-13,26721752
01-nov-13,656636
01-dic-13,3230853119
01-dic-13,40877868
01-dic-13,1833528
01-ene-12,2890951330
01-ene-12,18454124
01-ene-12,60618680
01-feb-12,3562705474
01-feb-12,18839300
01-feb-12,46253603
01-mar-12,3504367760
01-mar-12,25525790
01-mar-12,43150528
01-abr-12,2559548674
01-abr-12,17241154
01-abr-12,45073604
01-may-12,2647499854
01-may-12,25428900
01-may-12,158029384
01-jun-12,3042167151
01-jun-12,20472978
01-jun-12,32338926
01-jul-12,3036672382
01-jul-12,24360478
01-jul-12,21057661
01-ago-12,2315548655
01-ago-12,21973523
01-ago-12,82636102
01-sep-12,1522085199
01-sep-12,12809543
01-sep-12,21813762
01-oct-12,1652695722
01-oct-12,15112094
01-oct-12,37830306
01-oct-12,88548960
01-oct-12,660800
01-nov-12,2503361873
01-nov-12,36641125
01-nov-12,7712895
01-nov-12,10161480
