FECHA,Suma_FOB_miles
01-ene-2001,22501616700.00
01-ene-2002,24008833500.00
01-ene-2003,22587302500.00
01-ene-2004,21014736800.00
01-ene-2005,22946524800.00
01-ene-2006,29427271800.00
01-ene-2007,25026159500.00
01-ene-2008,28818820800.00
01-ene-2009,42209464200.00
01-ene-2010,42349539304.00
01-ene-2011,39534815505.00
01-ene-2012,33042876550.00
01-ene-2013,36446909201.00
01-ene-2014,37475298661.00
01-ene-2015,42183501521.00
01-ene-2016,41372338576.00
01-ene-2017,43883635863.00
01-ene-2018,38552916746.00
01-ene-2019,39920732804.00
01-ene-2020,52703727386.00
01-ene-2021,43885052209.00
01-ene-2022,4452954792.00
